Cust_ID,Block,Ship_mode,Discount,Weight_gm,Cust_calls,Prior_purchases,Priority,Gender,Cust_rating,Cost,Timeliness
1,F,Road,5,6102,2,3,medium,F,2,145,1
2,D,Ship,8,2182,3,5,low,M,3,241,1
3,F,Road,7,4572,4,2,low,F,4,183,1
4,F,Ship,47,3606,4,2,medium,F,3,233,1
5,B,Ship,6,5618,3,3,medium,F,5,206,0
6,A,Road,2,5986,5,3,medium,F,3,168,1
7,B,Ship,9,5804,4,3,medium,F,1,194,0
8,B,Ship,30,1805,4,3,low,F,2,138,1
9,A,Ship,10,5759,5,8,high,F,5,264,1
10,F,Ship,5,5395,5,3,low,M,3,173,0
11,B,Ship,8,1409,5,5,low,F,3,257,0
12,C,Ship,5,4504,3,2,medium,F,5,204,1
13,A,Flight,2,5607,4,2,low,M,3,170,0
14,A,Road,7,5359,5,4,low,M,4,171,1
15,D,Road,46,2844,3,3,low,F,4,244,1
16,C,Ship,61,1609,4,3,medium,F,4,173,1
17,B,Ship,3,4957,3,3,medium,M,1,230,0
18,F,Flight,2,4615,5,4,high,M,1,233,1
19,B,Ship,8,4743,5,2,low,M,5,158,0
20,D,Flight,48,3393,5,3,low,M,3,267,1
21,F,Flight,5,4585,5,2,high,M,5,180,1
22,F,Ship,10,1668,4,5,medium,M,2,245,1
23,B,Ship,4,5587,5,2,low,M,5,248,0
24,B,Ship,5,1252,5,5,low,M,5,245,0
25,A,Ship,27,1233,2,3,low,F,5,139,1
26,B,Ship,2,1411,5,4,low,M,5,276,1
27,A,Ship,9,1723,5,2,low,F,1,172,0
28,A,Flight,58,2098,5,3,medium,M,1,274,1
29,C,Flight,2,5469,5,2,low,M,4,217,1
30,C,Ship,63,1058,2,4,low,M,1,177,1
31,D,Ship,5,5213,3,3,low,F,1,133,1
32,B,Ship,52,3403,5,3,low,M,4,214,1
33,C,Ship,5,1703,6,4,low,F,4,306,1
34,A,Flight,5,3861,3,3,medium,M,2,264,1
35,A,Road,7,1754,7,4,medium,M,1,275,0
36,F,Flight,2,4313,3,4,low,M,5,220,0
37,B,Ship,6,5006,2,3,low,F,3,176,0
38,A,Ship,45,2732,4,2,low,F,3,233,1
39,B,Ship,5,4670,3,3,high,F,4,215,1
40,B,Ship,5,1143,3,3,low,F,5,168,1
41,C,Ship,1,2049,5,3,medium,M,2,225,1
42,F,Ship,4,5101,4,2,medium,F,4,240,0
